,date,site_nox
602,2021-08-25,
603,2021-08-26,
604,2021-08-27,
605,2021-08-28,
606,2021-08-29,
607,2021-08-30,
608,2021-08-31,
609,2021-09-01,
610,2021-09-02,
611,2021-09-03,
612,2021-09-04,
613,2021-09-05,
614,2021-09-06,
615,2021-09-07,
616,2021-09-08,
617,2021-09-09,
618,2021-09-10,
619,2021-09-11,
620,2021-09-12,
621,2021-09-13,
622,2021-09-14,
623,2021-09-15,
624,2021-09-16,
625,2021-09-17,
626,2021-09-18,
627,2021-09-19,
628,2021-09-20,
629,2021-09-21,
630,2021-09-22,
631,2021-09-23,
632,2021-09-24,
633,2021-09-25,
634,2021-09-26,
635,2021-09-27,
636,2021-09-28,
637,2021-09-29,
638,2021-09-30,
639,2021-10-01,
640,2021-10-02,
641,2021-10-03,
642,2021-10-04,
643,2021-10-05,
644,2021-10-06,
645,2021-10-07,
646,2021-10-08,
647,2021-10-09,
648,2021-10-10,
649,2021-10-11,
650,2021-10-12,
651,2021-10-13,
652,2021-10-14,
653,2021-10-15,
654,2021-10-16,
655,2021-10-17,
656,2021-10-18,
657,2021-10-19,
658,2021-10-20,
659,2021-10-21,
660,2021-10-22,
661,2021-10-23,
662,2021-10-24,
663,2021-10-25,
664,2021-10-26,
665,2021-10-27,
666,2021-10-28,
667,2021-10-29,
668,2021-10-30,
669,2021-10-31,
670,2021-11-01,
671,2021-11-02,
672,2021-11-03,
673,2021-11-04,
674,2021-11-05,
675,2021-11-06,
676,2021-11-07,
677,2021-11-08,
678,2021-11-09,
679,2021-11-10,
680,2021-11-11,
681,2021-11-12,
682,2021-11-13,
683,2021-11-14,
684,2021-11-15,
685,2021-11-16,
686,2021-11-17,
687,2021-11-18,
688,2021-11-19,
689,2021-11-20,
690,2021-11-21,
691,2021-11-22,
692,2021-11-23,
693,2021-11-24,
694,2021-11-25,
695,2021-11-26,
696,2021-11-27,
697,2021-11-28,
698,2021-11-29,
699,2021-11-30,
700,2021-12-01,
701,2021-12-02,
702,2021-12-03,
703,2021-12-04,
704,2021-12-05,
705,2021-12-06,
706,2021-12-07,
707,2021-12-08,
708,2021-12-09,
709,2021-12-10,
710,2021-12-11,
711,2021-12-12,
712,2021-12-13,
713,2021-12-14,
714,2021-12-15,
715,2021-12-16,
716,2021-12-17,
717,2021-12-18,
718,2021-12-19,
719,2021-12-20,
720,2021-12-21,
721,2021-12-22,
722,2021-12-23,
723,2021-12-24,
724,2021-12-25,
725,2021-12-26,
726,2021-12-27,
727,2021-12-28,
728,2021-12-29,
729,2021-12-30,
730,2021-12-31,
731,2022-01-01,
732,2022-01-02,
733,2022-01-03,
734,2022-01-04,
735,2022-01-05,
736,2022-01-06,
737,2022-01-07,
738,2022-01-08,
739,2022-01-09,
740,2022-01-10,
741,2022-01-11,
742,2022-01-12,
743,2022-01-13,
744,2022-01-14,
745,2022-01-15,
746,2022-01-16,
747,2022-01-17,
748,2022-01-18,
749,2022-01-19,
750,2022-01-20,
751,2022-01-21,
752,2022-01-24,
753,2022-01-25,
754,2022-01-26,
755,2022-01-27,
756,2022-01-28,
757,2022-01-29,
758,2022-01-30,
759,2022-01-31,
760,2022-02-01,
761,2022-02-02,
762,2022-02-03,
763,2022-02-04,
764,2022-02-05,
765,2022-02-06,
766,2022-02-07,
767,2022-02-08,
768,2022-02-09,
769,2022-02-10,
770,2022-02-11,
771,2022-02-12,
772,2022-02-13,
773,2022-02-14,
774,2022-02-15,36.929167
775,2022-02-16,59.620833
776,2022-02-17,19.220833
777,2022-02-18,19.005
778,2022-02-19,21.613636
779,2022-02-20,14.591667
780,2022-02-21,34.054167
781,2022-02-22,60.204167
782,2022-02-23,28.072727
783,2022-02-24,35.475
784,2022-02-25,34.4375
785,2022-02-26,22.245833
786,2022-02-27,13.525
787,2022-02-28,38.025
788,2022-03-01,43.5
789,2022-03-02,30.1875
790,2022-03-03,25.209091
791,2022-03-04,35.433333
792,2022-03-05,58.158333
793,2022-03-06,26.870833
794,2022-03-07,21.870833
795,2022-03-08,29.341667
796,2022-03-09,53.916667
797,2022-03-10,57.075
798,2022-03-11,82.566667
799,2022-03-12,15.09
800,2022-03-13,13.258333
801,2022-03-14,27.375
802,2022-03-15,33.671429
803,2022-03-16,38.0625
804,2022-03-17,55.354167
805,2022-03-18,44.0625
806,2022-03-19,15.554167
807,2022-03-20,9.995833
808,2022-03-21,23.133333
809,2022-03-22,28.691667
810,2022-03-23,30.3875
811,2022-03-24,38.291667
812,2022-03-25,42.61875
813,2022-03-26,10.916667
814,2022-03-27,10.491667
815,2022-03-28,21.0625
816,2022-03-29,23.8125
817,2022-03-30,36.383333
818,2022-03-31,19.355
819,2022-04-01,18.683333
820,2022-04-02,13.666667
821,2022-04-03,20.5375
822,2022-04-04,27.733333
823,2022-04-05,61.2375
824,2022-04-06,36.408333
825,2022-04-07,25.244444
826,2022-04-08,19.991667
827,2022-04-09,19.8125
828,2022-04-10,11.229167
829,2022-04-11,24.9375
830,2022-04-12,37.241667
831,2022-04-13,51.15
832,2022-04-14,31.790476
833,2022-04-15,24.741667
834,2022-04-16,11.920833
835,2022-04-17,11.133333
836,2022-04-18,30.633333
837,2022-04-19,14.3125
838,2022-04-20,23.908333
839,2022-04-21,29.2875
840,2022-04-22,40.65
841,2022-04-23,22.0875
842,2022-04-24,13.579167
843,2022-04-25,27.98
844,2022-04-26,48.020833
845,2022-04-27,20.179167
846,2022-04-28,21.279167
847,2022-04-29,26.904167
848,2022-04-30,20.9625
849,2022-05-01,21.933333
850,2022-05-02,35.995833
851,2022-05-03,30.425
852,2022-05-04,46.633333
853,2022-05-05,28.75
854,2022-05-06,24.635294
855,2022-05-07,15.5125
856,2022-05-08,10.9
857,2022-05-09,24.7125
858,2022-05-10,26.683333
859,2022-05-11,32.913636
860,2022-05-12,31.354167
861,2022-05-13,35.85
862,2022-05-14,25.608333
863,2022-05-15,20.695833
864,2022-05-16,21.441667
865,2022-05-17,15.521053
866,2022-05-18,21.704167
867,2022-05-19,28.508333
868,2022-05-20,27.0375
869,2022-05-21,24.1125
870,2022-05-22,14.9875
871,2022-05-23,25.025
872,2022-05-24,30.823529
873,2022-05-25,6.788889
874,2022-05-26,12.142857
875,2022-05-27,9.8875
876,2022-05-28,14.891667
877,2022-05-29,14.470833
878,2022-05-30,14.316667
879,2022-05-31,21.541667
880,2022-06-01,22.408333
881,2022-06-02,22.358333
882,2022-06-03,31.616667
883,2022-06-04,34.329167
884,2022-06-05,11.995833
885,2022-06-06,30.654167
886,2022-06-07,7.295833
887,2022-06-08,12.595833
888,2022-06-09,11.55
889,2022-06-10,22.068182
890,2022-06-11,23.495833
891,2022-06-12,9.720833
892,2022-06-13,29.633333
893,2022-06-14,35.895833
894,2022-06-15,35.952941
895,2022-06-16,8.083333
896,2022-06-17,16.316667
897,2022-06-18,11.441667
898,2022-06-19,9.675
899,2022-06-20,27.85
900,2022-06-21,48.525
901,2022-06-22,10.481818
902,2022-06-23,36.466667
903,2022-06-24,
904,2022-06-25,
905,2022-06-26,13.26
906,2022-06-27,23.208333
907,2022-06-28,25.116667
908,2022-06-29,28.770833
909,2022-06-30,28.6375
910,2022-07-01,12.054167
911,2022-07-02,13.305263
912,2022-07-03,13.558333
913,2022-07-04,13.0
914,2022-07-05,12.622727
915,2022-07-06,19.470833
916,2022-07-07,19.629167
917,2022-07-08,23.715385
918,2022-07-09,13.326667
919,2022-07-10,11.241667
920,2022-07-11,11.304167
921,2022-07-12,7.44
922,2022-07-13,15.886667
923,2022-07-14,31.929167
924,2022-07-15,22.895652
925,2022-07-16,16.004167
926,2022-07-17,10.883333
927,2022-07-18,13.908333
928,2022-07-19,14.741667
929,2022-07-20,21.068421
930,2022-07-21,14.395833
931,2022-07-22,33.108333
932,2022-07-23,18.254167
933,2022-07-24,10.945833
934,2022-07-25,16.954167
935,2022-07-26,28.55
936,2022-07-27,33.320833
937,2022-07-28,15.168182
938,2022-07-29,26.766667
939,2022-07-30,17.295833
940,2022-07-31,14.075
941,2022-08-01,34.845833
942,2022-08-02,18.133333
943,2022-08-03,22.7625
944,2022-08-04,18.561538
945,2022-08-05,19.85
946,2022-08-06,10.9375
947,2022-08-07,6.633333
948,2022-08-08,11.745833
949,2022-08-09,18.116667
950,2022-08-10,23.495833
951,2022-08-11,30.833333
952,2022-08-12,29.4875
953,2022-08-13,16.383333
954,2022-08-14,18.304167
955,2022-08-15,29.841667
956,2022-08-16,26.828571
957,2022-08-17,36.290476
958,2022-08-18,31.566667
959,2022-08-19,25.495833
960,2022-08-20,19.5625
961,2022-08-21,9.108333
962,2022-08-22,24.070833
963,2022-08-23,22.065
964,2022-08-24,22.229167
965,2022-08-25,36.391667
966,2022-08-26,16.858333
967,2022-08-27,19.763158
968,2022-08-28,9.933333
969,2022-08-29,8.773684
970,2022-08-30,9.331579
971,2022-08-31,21.7125
972,2022-09-01,22.105556
973,2022-09-02,21.741667
974,2022-09-03,17.8875
975,2022-09-04,8.9625
976,2022-09-05,13.566667
977,2022-09-06,20.658333
978,2022-09-07,27.647619
979,2022-09-08,40.775
980,2022-09-09,34.491667
981,2022-09-10,30.291667
982,2022-09-11,18.141667
983,2022-09-12,30.716667
984,2022-09-13,25.175
985,2022-09-14,21.404167
986,2022-09-15,37.283333
987,2022-09-16,59.5
988,2022-09-17,16.7375
989,2022-09-18,7.9125
990,2022-09-19,24.75625
991,2022-09-20,31.15
992,2022-09-21,30.7875
993,2022-09-22,18.745833
994,2022-09-23,26.1375
995,2022-09-24,18.579167
996,2022-09-25,12.995833
997,2022-09-26,13.304167
998,2022-09-27,18.488889
999,2022-09-28,27.313636
1000,2022-09-29,27.270833
1001,2022-09-30,41.279167
1002,2022-10-01,20.766667
1003,2022-10-02,9.2125
1004,2022-10-03,26.020833
1005,2022-10-04,23.777273
1006,2022-10-05,35.8375
1007,2022-10-06,53.454167
1008,2022-10-07,43.040909
1009,2022-10-08,20.8875
1010,2022-10-09,23.154167
1011,2022-10-10,34.995833
1012,2022-10-11,45.481818
1013,2022-10-12,48.052381
1014,2022-10-13,15.043478
1015,2022-10-14,54.641667
1016,2022-10-15,55.9125
1017,2022-10-16,35.1125
1018,2022-10-17,35.0625
1019,2022-10-18,22.195455
1020,2022-10-19,22.854167
1021,2022-10-20,18.516667
1022,2022-10-21,60.25
1023,2022-10-22,63.308333
1024,2022-10-23,22.641667
1025,2022-10-24,37.316667
1026,2022-10-25,36.918182
1027,2022-10-26,35.185714
1028,2022-10-27,27.529167
1029,2022-10-28,48.727778
1030,2022-10-29,60.475
1031,2022-10-30,90.8
1032,2022-10-31,107.8
1033,2022-11-01,34.086364
1034,2022-11-02,73.979167
1035,2022-11-03,121.614286
1036,2022-11-04,71.05
1037,2022-11-05,21.508696
1038,2022-11-06,13.095833
1039,2022-11-07,22.189474
1040,2022-11-08,24.309091
1041,2022-11-09,48.480952
1042,2022-11-10,66.858333
1043,2022-11-11,41.720833
1044,2022-11-12,15.891667
1045,2022-11-13,14.233333
1046,2022-11-14,31.704167
1047,2022-11-15,51.261905
1048,2022-11-16,35.279167
1049,2022-11-17,25.908333
1050,2022-11-18,22.9375
1051,2022-11-19,26.916667
